iter	Passed	Remaining
984	119405	1818
985	119445	1695
986	119485	1573
987	119525	1451
988	119566	1329
989	119615	1208
990	119655	1086
991	119697	965
992	119739	844
993	119781	723
994	119821	602
995	119861	481
996	119901	360
997	119942	240
998	119983	120
999	120023	0
37
999	137715	0
147533	890
994	147623	741
995	147708	593
996	147813	444
997	147915	296
998	148022	148
999	148134	0
0
